,census_tract,code_simple,score
489,8359.0,21.0,53.8397896691
490,8360.0,21.0,54.1318150434
491,8361.0,21.0,62.0570711006
492,8362.0,21.0,64.9825809003
493,8363.0,21.0,54.3823764724
494,8364.0,21.0,57.6555137981
495,8365.0,21.0,42.6286154827
496,8366.0,21.0,52.6060697833
497,8501.0,21.0,47.5278186043
498,8502.0,21.0,59.2964024193
499,8503.0,21.0,48.6506628928
500,8504.0,21.0,49.3612753131
501,8505.0,21.0,61.9026202044
502,8506.0,21.0,55.4310513984
503,8507.0,21.0,60.8474548532
504,8509.0,21.0,56.2701871446
505,8510.0,21.0,44.5254887071
506,8511.0,21.0,66.4544958022
507,8512.0,21.0,49.3739366356
508,8513.0,21.0,58.2740736472
509,8600.0,21.0,45.2291966954
510,8701.0,21.0,60.0080908007
511,8702.0,21.0,52.4372851623
512,8800.0,21.0,41.5880536896
513,8901.0,21.0,47.4277849443
514,8902.0,21.0,52.0478792213
515,9000.0,21.0,59.2119481243
516,9101.0,21.0,55.5645120036
517,9102.0,21.0,69.4265288609
518,9103.0,21.0,51.045349915
519,9104.0,21.0,55.0551841634
520,9106.0,21.0,40.609032884
521,9107.0,21.0,48.893702786
522,9201.0,21.0,45.5316063051
523,9202.0,21.0,68.4104278929
524,9301.0,21.0,52.7446236784
525,9304.0,21.0,59.6541215893
526,9305.0,21.0,44.3112729767
527,9306.0,21.0,56.4176889345
528,9400.0,21.0,56.9461543969
529,9502.0,21.0,48.4309308911
530,9504.0,21.0,53.8659793717
531,9505.0,21.0,50.3093285069
532,9506.0,21.0,45.0968952304
533,9507.0,21.0,43.6309898498
534,9509.0,21.0,44.8305577271
535,9510.0,21.0,71.7905178334
536,9511.0,21.0,78.4943105584
537,9602.0,21.0,52.0988600073
538,9603.0,21.0,55.9253080271
539,9604.0,21.0,60.7214564433
540,9703.0,21.0,58.6728422602
541,9704.0,21.0,53.6777813958
542,9705.0,21.0,57.347721337
543,9706.0,21.0,58.6988721912
544,9801.0,21.0,47.0357854235
545,9802.0,21.0,56.4295513626
546,9804.0,21.0,61.8792659295
547,9805.0,21.0,56.3368179524
548,9902.0,21.0,33.6228581909
549,10001.0,21.0,56.2194498032
550,10003.0,21.0,77.5299255288
551,10004.0,21.0,52.6637321925
552,10005.0,21.0,52.5746562993
553,10009.0,21.0,52.3090566726
554,10010.0,21.0,62.9265543543
